Database Name	CLS ODA
Database Location	http://operetta-cls.dyn.scilifelab.se/ODA/OdaService.asmx
Evaluation Signature	8d7e79c9-eb4a-4cf4-a8bf-b2ad302dd2ee
Plate Name	P105274
Measurement	Measurement 3
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	number of cells	spot area per cell	Number of Spots per Area of Cell - Mean per Well	sum spot intensity per cell	Spots - Intensity Spot CellMask Green Mean - Sum per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
10	15	1	1	824	5,46237864078	0,00010954042206	318,523475704	262463,34398	4	0	0					
11	15	1	1	72	100,527777778	0,00110316539596	2145,52096745	154477,509657	4	0	0					
12	15	1	1	35	71,9428571429	0,0014230816334	2788,91258002	97611,9403007	4	0	0					
13	15	1	1	659	189,661608498	0,00506723396266	15620,1642954	10293688,2707	4	0	0					
14	15	1	1	789	64,1736375158	0,00178820258944	6073,13421341	4791702,89438	4	0	0					
15	15	1	1	667	12,7346326837	0,000132885080892	600,704032181	400669,589465	4	0	0					
16	15	1	1	730	6,42465753425	9,56587021379E-05	395,625935194	288806,932692	4	0	0					
16	16	1	1	815	18,0601226994	0,000502047402025	1832,25352482	1493286,62273	4	0	0					
15	16	1	1	621	69,4895330113	0,00205970152032	7063,37498215	4386355,86391	4	0	0					
14	16	1	1	722	181,468144044	0,00437618220362	16997,4717474	12272174,6016	4	0	0					
13	16	1	1	274	427,368613139	0,00965360958591	57246,4702983	15685532,8617	4	0	0					
12	16	1	1	695	8,7654676259	0,00021092342663	675,111562024	469202,535607	4	0	0					
11	16	1	1	760	20,0421052632	0,000506921556562	1555,38171536	1182090,10367	4	0	0					
10	16	1	1	694	97,1887608069	0,00266122715736	7999,64439503	5551753,21015	4	0	0					
9	16	1	1	763	293,743119266	0,00761632530487	23344,112552	17811557,8772	4	0	0					
8	16	1	1	728	264,774725275	0,00646034519829	20520,129403	14938654,2054	4	0	0					
7	16	1	1	192	555,807291667	0,00713363171902	35964,775565	6905236,90848	4	0	0					
6	16	1	1	752	6,39228723404	0,000143626188238	478,00555428	359460,176819	4	0	0					
5	16	1	1	1592	16,4126884422	0,000929288223356	1489,33655085	2371023,78895	4	0	0					
4	16	1	1	846	103,177304965	0,00289496843216	8755,08282232	7406800,06768	4	0	0					
3	16	1	1	777	210,770913771	0,00590925216792	17010,6183312	13217250,4433	4	0	0					
2	16	1	1	691	365,083936324	0,00794024494274	28322,5436117	19570877,6357	4	0	0					
1	16	1	1	105	576,971428571	0,00588739775454	37209,2555161	3906971,82919	4	0	0					
1	17	1	1	898	9,58240534521	0,000166420018961	537,288331834	482484,921987	4	0	0					
2	17	1	1	744	7,01747311828	0,000104739138659	402,764562501	299656,834501	4	0	0					
3	17	1	1	579	367,604490501	0,00875865387596	45858,7233903	26552200,843	4	0	0					
4	17	1	1	621	146,650563607	0,00429523220848	14380,172262	8930086,97472	4	0	0					
5	17	1	1	919	50,0380848749	0,00181805924642	4948,47899741	4547652,19862	4	0	0					
6	17	1	1	720	18,8486111111	0,000548710668409	1649,03702401	1187306,65729	4	0	0					
7	17	1	1	869	10,1334867664	0,000125276393511	443,257413399	385190,692243	4	0	0					
8	17	1	1	726	10,1639118457	0,000121619414	527,65550632	383077,897588	4	0	0					
9	17	1	1	135	705,955555556	0,00942783160653	71626,1850532	9669534,98218	4	0	0					
10	17	1	1	614	169,260586319	0,00447451006181	15404,056044	9458090,411	4	0	0					
11	17	1	1	648	69,8734567901	0,00231637637129	6547,65218218	4242878,61405	4	0	0					
12	17	1	1	576	13,0868055556	0,000355927483232	1069,37089248	615957,634071	4	0	0					
13	17	1	1	648	9,12654320988	0,000139710930538	483,559224937	313346,377759	4	0	0					
14	17	1	1	741	7,75033738192	0,000122871529386	411,673149285	305049,80362	4	0	0					
