Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
E23	1	0	2273	51.6744390673	1.81786185658	0.0163956544861	0.00239376721102	1210.2227969	4437	0.123295449786	286.767841468	28.7622267298	2161.25687558	4	0	0					
E24	1	0	2227	102.978895375	4.05702739111	0.0393994974905	0.00572734482051	1817.78639272	9735	0.141170412533	480.445201345	25.540626605	3163.52649474	4	0	0					
F01	1	0	2477	9.21396851029	0.239806217198	0.00313061053727	0.000307816811917	876.281801379	644	0.123308043873	266.290497659	39.2406832298	1801.34306964	4	0	0					
F02	1	0	2347	96.8662121858	3.92799318279	0.03516679803	0.00525698253637	1382.17365366	10040	0.142431791316	372.491830502	24.7019920319	2420.37869222	4	0	0					
F03	1	0	2286	10.8162729659	0.363954505687	0.00278676800742	0.00044095353012	932.209517948	888	0.117364853804	221.469443687	29.6531531532	1742.24613499	4	0	0					
F04	1	0	2338	11.3254918734	0.317365269461	0.00307632351316	0.00037445977222	978.410246729	835	0.122072801631	262.321081701	36.5389221557	1858.27663069	4	0	0					
F05	1	0	1976	9.16953441296	0.300101214575	0.00278387876193	0.000294501913769	1005.09680517	653	0.126150341977	336.358828634	31.6967840735	2205.40010855	4	0	0					
F06	1	0	2311	17.5491129381	0.572912159238	0.00456218027204	0.000689815115465	1045.55916524	1422	0.115308731264	227.085259506	30.8016877637	1825.16940467	4	0	0					
F07	1	0	2341	9.15976078599	0.304143528407	0.00306623860207	0.000368958877734	1038.02812786	760	0.124971067482	299.895885881	30.1973684211	2019.81626498	4	0	0					
F08	1	0	2387	18.237117721	0.627565982405	0.00496260907974	0.000777030651889	1056.32494481	1619	0.118534904795	242.127280521	29.1488573193	1878.19234848	4	0	0					
F09	1	0	2499	8.17086834734	0.325730292117	0.00216722377468	0.000397673881229	1096.65268624	894	0.118393556953	242.236588684	25.4586129754	1830.53817955	4	0	0					
F10	1	0	2283	10.4866403855	0.326763031099	0.00350991169293	0.000397143452328	1020.01878672	809	0.124155380224	304.456470126	32.4684796044	2080.26042314	4	0	0					
F11	1	0	2318	8.7955133736	0.240724762726	0.00260702258701	0.000284854730879	1057.30397561	620	0.124286194385	317.960164886	37.2451612903	2215.9916952	4	0	0					
F12	1	0	2373	9.20648967552	0.310577328276	0.0028920157218	0.00038990441971	1018.00233191	795	0.124074201023	273.784892307	29.8188679245	1912.42959808	4	0	0					
F13	1	0	2451	7.46470828233	0.196246430029	0.00286711374131	0.000251118234118	1011.66287226	505	0.1334782932	364.62709104	38.5841584158	2260.84052421	4	0	0					
F14	1	0	2259	11.6387782205	0.343072155821	0.00350578455224	0.000427156549767	1003.49645147	843	0.121438028098	263.372847247	34.2574139976	1904.41564493	4	0	0					
F15	1	0	2141	129.487622606	6.17982251284	0.0663890131218	0.00894170373962	2177.64760487	14207	0.158127599617	694.774880186	21.1126205392	4105.78108223	4	0	0					
F16	1	0	2435	11.6439425051	0.316632443532	0.00370135170854	0.0003937997911	1085.50172899	831	0.126675370924	387.95660966	37.2129963899	2521.54316575	4	0	0					
F17	1	0	2318	7.05220017256	0.215271786022	0.00263348413434	0.000271657215297	1003.76574066	536	0.126296098479	349.791308689	33.9141791045	2290.52875225	4	0	0					
F18	1	0	2445	9.7717791411	0.285071574642	0.00319055061154	0.000358949835903	1018.60816335	744	0.12096721876	295.514572441	35.0161290323	2008.2901481	4	0	0					
F19	1	0	2337	9.1215233205	0.282413350449	0.00294462361542	0.000357999639326	953.280026495	693	0.118821616286	251.7675869	32.3650793651	1777.89909465	4	0	0					
