Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
A14,1,0,2245,8.80445434298,0.257906458797,0.00257712662176,0.000296873179061,1272.65090854,626,0.124783535615,343.728952159,34.2076677316,2375.18715009,4,0,0,,,,,
A15,1,0,1862,69.8485499463,2.44307196563,0.023852020093,0.00357520573705,1315.71306292,4939,0.131561345064,309.421128042,28.9554565702,2199.5868264,4,0,0,,,,,
A16,1,0,2326,9.78417884781,0.260963026655,0.00403705873601,0.000334999924889,1054.80803556,645,0.13529300899,404.292323211,37.8527131783,2453.43626991,4,0,0,,,,,
A17,1,0,2111,9.39791567977,0.229748934154,0.003058283052,0.000289618849391,1024.77501978,519,0.126297960842,305.214654153,41.0385356455,2088.54652303,4,0,0,,,,,
A18,1,0,2314,8.6871218669,0.23422644771,0.00379252521309,0.000317805569583,1049.57963859,584,0.130440271649,421.700379489,37.4315068493,2556.77465784,4,0,0,,,,,
A19,1,0,2294,7.37445510026,0.193984306888,0.00237700633018,0.000245738226259,1088.08111118,493,0.123412442929,329.728646245,38.0811359026,2149.73744257,4,0,0,,,,,
A20,1,0,2362,7.85520745131,0.19432684166,0.0023180252219,0.000239910838907,957.619464753,507,0.120529730943,267.079838747,40.7810650888,1865.65871707,4,0,0,,,,,
A21,1,0,2216,9.28384476534,0.275270758123,0.00318592947277,0.000351585137339,1010.97120791,656,0.124032398279,315.677578533,33.8963414634,2120.34165246,4,0,0,,,,,
A22,1,0,2314,9.53370786517,0.281331028522,0.00291171954833,0.000375439331947,1107.34332494,714,0.12258273501,320.286968649,33.9957983193,2255.13549344,4,0,0,,,,,
A23,1,0,2077,111.957631199,4.77419354839,0.0469360089768,0.00687530012329,1630.79016749,10768,0.146851799219,459.848393144,23.6653046062,2918.75847081,4,0,0,,,,,
A24,1,0,1960,10.0142857143,0.28112244898,0.0043682071088,0.000346295373428,1098.62367614,608,0.140505915691,547.560895455,35.9753289474,3018.27088947,4,0,0,,,,,
B01,1,0,2114,115.529801325,4.33112582781,0.0538003521019,0.00681409538751,1864.75060816,9877,0.14917715752,523.17612813,26.9459350005,3265.2253753,4,0,0,,,,,
B02,1,0,2442,6.81572481572,0.18058968059,0.00219905012659,0.000249030848075,1058.60257875,467,0.122389973497,291.267253584,37.4925053533,2060.03628216,4,0,0,,,,,
B03,1,0,2243,9.64868479715,0.231386535889,0.00336776163588,0.000305431526368,1014.56258001,564,0.124543474395,343.241051427,41.8563829787,2236.00360131,4,0,0,,,,,
