,,,PltRpt=1 Group=1 LUM 01sec(1) De=1st Ex=N/A Em=Top Wdw=N/A,,,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,,
1,,P15,79920,7992,0.1,00:01:11.718,,
1,,P16,81560,8156,0.1,00:01:11.526,,
1,,P17,77080,7708,0.1,00:01:11.334,,
1,,P18,74240,7424,0.1,00:01:11.142,,
1,,P19,81960,8196,0.1,00:01:10.950,,
1,,P20,81160,8116,0.1,00:01:10.759,,
1,,P21,80240,8024,0.1,00:01:10.568,,
1,,P22,83800,8380,0.1,00:01:10.377,,
1,,P23,520,52,0.1,00:01:10.186,,
1,,P24,76080,7608,0.1,00:01:09.994,,
Plate information 
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,,14.91,22.32,22.44,25,25.1,22.81,22.74,12/13/2021 1:07:29 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,LUM 01sec,0,0,0.1,00:00:00.000,De=1st Ex=N/A Em=Top Wdw=N/A,


Basic assay information 
Assay ID: ,,,,4534
Assay Started: ,,,,12/13/2021 1:06:11 PM
Assay Finished: ,,,,12/13/2021 1:07:37 PM
Assay Exported: ,,,,10/18/2023 9:14:03 AM
Protocol ID: ,,,,100289
Protocol Name: ,,,,Cell Titer Glo
Serial#: ,,,,1040940




Exported with EnVision Workstation version 1.12
