PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,G17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:31.060,7988,0.1,79880,
1,1,G18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:31.251,8228,0.1,82280,
1,1,G19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:31.443,8116,0.1,81160,
1,1,G20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:31.635,7796,0.1,77960,
1,1,G21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:31.827,8264,0.1,82640,
1,1,G22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:32.019,8612,0.1,86120,
1,1,G23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:32.211,84,0.1,840,
1,1,G24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:32.403,7588,0.1,75880,
1,1,H01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:37.068,8600,0.1,86000,
1,1,H02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:36.876,8720,0.1,87200,
1,1,H03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:36.684,7876,0.1,78760,
1,1,H04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:36.493,8608,0.1,86080,
1,1,H05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:36.301,8056,0.1,80560,
1,1,H06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:36.109,8640,0.1,86400,
1,1,H07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:35.917,8876,0.1,88760,
1,1,H08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:35.725,8988,0.1,89880,
1,1,H09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:35.533,8448,0.1,84480,
1,1,H10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:35.341,8780,0.1,87800,
1,1,H11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:35.149,7900,0.1,79000,
1,1,H12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.958,8328,0.1,83280,
1,1,H13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.766,8060,0.1,80600,
1,1,H14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.575,8612,0.1,86120,
1,1,H15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.384,8184,0.1,81840,
1,1,H16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.193,8300,0.1,83000,
1,1,H17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:34.001,8588,0.1,85880,
1,1,H18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:33.809,7936,0.1,79360,
1,1,H19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:33.617,8240,0.1,82400,
1,1,H20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:33.426,8944,0.1,89440,
1,1,H21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:33.234,8544,0.1,85440,
1,1,H22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:33.042,8320,0.1,83200,
1,1,H23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:32.850,80,0.1,800,
1,1,H24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:32.659,8468,0.1,84680,
1,1,I01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:37.323,8856,0.1,88560,
1,1,I02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:37.514,8620,0.1,86200,
1,1,I03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:37.705,9136,0.1,91360,
1,1,I04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:37.897,8944,0.1,89440,
1,1,I05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:38.089,7732,0.1,77320,
1,1,I06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:38.281,8748,0.1,87480,
1,1,I07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:38.473,8428,0.1,84280,
1,1,I08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:38.665,8468,0.1,84680,
1,1,I09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:38.856,8632,0.1,86320,
1,1,I10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:39.048,8640,0.1,86400,
1,1,I11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:39.239,8132,0.1,81320,
1,1,I12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:39.431,8504,0.1,85040,
1,1,I13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:39.623,8548,0.1,85480,
1,1,I14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:39.815,8592,0.1,85920,
1,1,I15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.008,8772,0.1,87720,
1,1,I16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.200,8420,0.1,84200,
1,1,I17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.392,8288,0.1,82880,
1,1,I18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.584,8536,0.1,85360,
1,1,I19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.775,8364,0.1,83640,
1,1,I20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:40.967,8764,0.1,87640,
1,1,I21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:41.159,8568,0.1,85680,
1,1,I22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:41.351,8344,0.1,83440,
1,1,I23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:41.543,92,0.1,920,
